,Type,Score,prop.spp.Salinity.BF,prop.spp.HighMotility,prop.ind.most.tol,prop.spp.BCG3
513UNCAKC_7.13.09_1,ref,1.047300756,0.869964262,0.773409155,NA,1.498528853
513UNCAKC_8.13.09_1,ref,1.257869611,1.318680738,NA,1.329056442,1.125871652
513UNCAKC_9.10.08_1,ref,0.826153396,NA,0.705198451,0.679796651,1.093465085
513UNCAKC_9.10.08_2,ref,0.983385245,1.602588194,0.180915441,1.166652099,NA
513UNCAKC_9.23.09_1,ref,0.982238896,0.957820986,0.640219734,NA,1.348675968
514BMCARC_9.27.11_1,ref,0.713105225,1.426210449,NA,NA,0
514BRUUPX_10.9.08_1,ref,1.10982286,NA,1.749844629,1.139397749,0.440226203
514BRUUPX_10.9.08_2,ref,1.247310407,1.599466205,0.823098587,1.319366428,NA
514DNCLDC_7.22.10_1,ref,1.230727348,1.128929146,1.439356257,NA,1.12389664
514DNCLDC_9.7.10_1,ref,0.964591021,1.206188358,NA,1.174029214,0.51355549
514ICEUPx_8.13.14_1,ref,0.874922315,NA,1.749844629,NA,0
514LNCASC_8.18.11_1,ref,1.437529554,1.735661359,1.139397749,NA,NA
514LNCASC_8.18.11_2,ref,0.856075714,1.128870886,1.439356257,NA,0
514LNCASC_8.30.11_1,ref,0.713172433,1.426344865,NA,NA,0
514PCASMR_10.29.14_1,ref,1.256564928,NA,1.749844629,1.139397749,0.880452406
